year,state,county_name,Biden,Trump,mode
2020,ARKANSAS,ASHLEY,462,1232,ELECTION DAY
2020,ARKANSAS,BAXTER,449,2540,ELECTION DAY
2020,ARKANSAS,BENTON,4565,11599,ELECTION DAY
2020,ARKANSAS,BOONE,489,3700,ELECTION DAY
2020,ARKANSAS,BRADLEY,290,772,ELECTION DAY
2020,ARKANSAS,CALHOUN,128,582,ELECTION DAY
2020,ARKANSAS,CARROLL,420,1892,ELECTION DAY
2020,ARKANSAS,CHICOT,824,362,ELECTION DAY
2020,ARKANSAS,CLARK,485,1249,ELECTION DAY
2020,ARKANSAS,CLAY,684,2981,ELECTION DAY
2020,ARKANSAS,CLEBURNE,432,3581,ELECTION DAY
2020,ARKANSAS,CLEVELAND,184,1168,ELECTION DAY
2020,ARKANSAS,COLUMBIA,418,756,ELECTION DAY
2020,ARKANSAS,CONWAY,514,2054,ELECTION DAY
2020,ARKANSAS,CRAIGHEAD,2450,7036,ELECTION DAY
2020,ARKANSAS,CRAWFORD,806,4268,ELECTION DAY
2020,ARKANSAS,CRITTENDEN,1595,1072,ELECTION DAY
2020,ARKANSAS,CROSS,331,976,ELECTION DAY
2020,ARKANSAS,DALLAS,249,645,ELECTION DAY
2020,ARKANSAS,DESHA,494,414,ELECTION DAY
2020,ARKANSAS,DREW,459,950,ELECTION DAY
2020,ARKANSAS,FAULKNER,1989,5072,ELECTION DAY
2020,ARKANSAS,FRANKLIN,227,1355,ELECTION DAY
2020,ARKANSAS,FULTON,208,1294,ELECTION DAY
2020,ARKANSAS,GARLAND,1287,4080,ELECTION DAY
2020,ARKANSAS,GRANT,253,1869,ELECTION DAY
2020,ARKANSAS,GREENE,428,2298,ELECTION DAY
2020,ARKANSAS,HEMPSTEAD,454,1632,ELECTION DAY
2020,ARKANSAS,HOT SPRING,372,1589,ELECTION DAY
2020,ARKANSAS,HOWARD,179,799,ELECTION DAY
2020,ARKANSAS,INDEPENDENCE,489,2862,ELECTION DAY
2020,ARKANSAS,IZARD,205,1404,ELECTION DAY
2020,ARKANSAS,JACKSON,277,1228,ELECTION DAY
2020,ARKANSAS,JEFFERSON,3957,4527,ELECTION DAY
2020,ARKANSAS,JOHNSON,503,2348,ELECTION DAY
2020,ARKANSAS,LAFAYETTE,180,379,ELECTION DAY
2020,ARKANSAS,LAWRENCE,257,1537,ELECTION DAY
2020,ARKANSAS,LEE,309,412,ELECTION DAY
2020,ARKANSAS,LINCOLN,443,1097,ELECTION DAY
2020,ARKANSAS,LITTLE RIVER,190,800,ELECTION DAY
2020,ARKANSAS,LOGAN,344,1986,ELECTION DAY
2020,ARKANSAS,LONOKE,807,3151,ELECTION DAY
2020,ARKANSAS,MADISON,373,2446,ELECTION DAY
2020,ARKANSAS,MARION,269,1730,ELECTION DAY
2020,ARKANSAS,MILLER,755,2792,ELECTION DAY
2020,ARKANSAS,MISSISSIPPI,824,2008,ELECTION DAY
2020,ARKANSAS,MONROE,414,536,ELECTION DAY
2020,ARKANSAS,MONTGOMERY,122,938,ELECTION DAY
2020,ARKANSAS,NEVADA,301,858,ELECTION DAY
2020,ARKANSAS,NEWTON,213,1608,ELECTION DAY
2020,ARKANSAS,OUACHITA,478,990,ELECTION DAY
2020,ARKANSAS,PERRY,222,1047,ELECTION DAY
2020,ARKANSAS,PHILLIPS,783,1085,ELECTION DAY
2020,ARKANSAS,PIKE,113,861,ELECTION DAY
2020,ARKANSAS,POINSETT,538,2568,ELECTION DAY
2020,ARKANSAS,POLK,180,1902,ELECTION DAY
2020,ARKANSAS,POPE,715,2870,ELECTION DAY
2020,ARKANSAS,PRAIRIE,204,1192,ELECTION DAY
2020,ARKANSAS,PULASKI,16357,16917,ELECTION DAY
2020,ARKANSAS,RANDOLPH,213,1411,ELECTION DAY
2020,ARKANSAS,ST. FRANCIS,850,1135,ELECTION DAY
2020,ARKANSAS,SALINE,1862,6926,ELECTION DAY
2020,ARKANSAS,SCOTT,119,1240,ELECTION DAY
2020,ARKANSAS,SEARCY,127,990,ELECTION DAY
2020,ARKANSAS,SEBASTIAN,2279,6789,ELECTION DAY
2020,ARKANSAS,SEVIER,295,1343,ELECTION DAY
2020,ARKANSAS,SHARP,216,1414,ELECTION DAY
2020,ARKANSAS,STONE,242,1531,ELECTION DAY
2020,ARKANSAS,UNION,1670,4505,ELECTION DAY
2020,ARKANSAS,VAN BUREN,213,1297,ELECTION DAY
2020,ARKANSAS,WASHINGTON,6592,12090,ELECTION DAY
2020,ARKANSAS,WHITE,1319,7196,ELECTION DAY
2020,ARKANSAS,WOODRUFF,314,726,ELECTION DAY
2020,ARKANSAS,YELL,271,1518,ELECTION DAY
2020,LOUISIANA,ACADIA,5443,22596,TOTAL
2020,LOUISIANA,ALLEN,2108,7574,TOTAL
2020,LOUISIANA,ASCENSION,20399,40687,TOTAL
2020,LOUISIANA,ASSUMPTION,3833,7271,TOTAL
2020,LOUISIANA,AVOYELLES,4979,12028,TOTAL
2020,LOUISIANA,BEAUREGARD,2542,13575,TOTAL
2020,LOUISIANA,BIENVILLE,3067,3891,TOTAL
2020,LOUISIANA,BOSSIER,15662,38074,TOTAL
2020,LOUISIANA,CADDO,55110,48021,TOTAL
2020,LOUISIANA,CALCASIEU,25982,55066,TOTAL
